"fecha","tasa_cetes","inflacion","pib","ln_tc","td","ln_ipc"
"11/2010",0.0397,0.0432,NULL,2.52304,0.05172,10.51372
"12/2010",0.0430,0.0440,0.04143,2.51362,0.04936,10.55973
"01/2011",0.0414,0.0378,NULL,2.49749,0.05337,10.51819
"02/2011",0.0404,0.0357,NULL,2.49372,0.05338,10.51921
"03/2011",0.0427,0.0304,0.03695,2.47724,0.04641,10.53051
"04/2011",0.0428,0.0336,NULL,2.44476,0.05130,10.51766
"05/2011",0.0431,0.0325,NULL,2.44911,0.05180,10.48662
"06/2011",0.0437,0.0328,0.02765,2.46155,0.05400,10.50666
"07/2011",0.0414,0.0355,NULL,2.46321,0.05477,10.49126
"08/2011",0.0405,0.0342,NULL,2.51349,0.05705,10.48350
"09/2011",0.0423,0.0314,0.04052,2.62463,0.05432,10.41940
"10/2011",0.0436,0.0320,NULL,2.57872,0.04993,10.49571
"11/2011",0.0435,0.0348,NULL,2.61080,0.04961,10.51404
"12/2011",0.0434,0.0382,0.04129,2.63531,0.04506,10.52077
"01/2012",0.0427,0.0405,NULL,2.56554,0.04879,10.53003
"02/2012",0.0432,0.0387,NULL,2.54859,0.05280,10.54051
"03/2012",0.0424,0.0373,0.04811,2.55017,0.04518,10.58459
"04/2012",0.0429,0.0341,NULL,2.56450,0.04857,10.58307
"05/2012",0.0439,0.0385,NULL,2.66059,0.04673,10.54199
"06/2012",0.0434,0.0434,0.03986,2.59588,0.04751,10.60161
"07/2012",0.0415,0.0442,NULL,2.58651,0.04992,10.61409
"08/2012",0.0413,0.0457,NULL,2.58453,0.05327,10.58207
"09/2012",0.0417,0.0477,0.02749,2.55486,0.04905,10.61808
"10/2012",0.0421,0.0460,NULL,2.57193,0.05030,10.63634
"11/2012",0.0429,0.0418,NULL,2.55930,0.05047,10.64145
"12/2012",0.0405,0.0357,0.03094,2.56232,0.04395,10.68524
"01/2013",0.0415,0.0325,NULL,2.54234,0.05407,10.72058
"02/2013",0.0419,0.0355,NULL,2.54784,0.04750,10.69469
"03/2013",0.0398,0.0425,0.00640,2.51456,0.04475,10.69370
"04/2013",0.0382,0.0465,NULL,2.49697,0.04961,10.65168
"05/2013",0.0372,0.0463,NULL,2.54972,0.04910,10.63557
"06/2013",0.0378,0.0409,0.02086,2.56709,0.04999,10.61210
"07/2013",0.0385,0.0347,NULL,2.55306,0.05131,10.61737
"08/2013",0.0384,0.0346,NULL,2.59088,0.05183,10.58386
"09/2013",0.0364,0.0339,0.01462,2.57830,0.05305,10.60125
"10/2013",0.0339,0.0336,NULL,2.56546,0.05009,10.62227
"11/2013",0.0339,0.0362,NULL,2.57338,0.04484,10.65724
"12/2013",0.0329,0.0397,0.01215,2.57141,0.04266,10.66259
"01/2014",0.0314,0.0448,NULL,2.59353,0.05068,10.61839
"02/2014",0.0316,0.0423,NULL,2.58308,0.04661,10.56573
"03/2014",0.0317,0.0376,0.02814,2.56916,0.04796,10.60811
"04/2014",0.0323,0.0350,NULL,2.57186,0.04851,10.61427
"05/2014",0.0328,0.0351,NULL,2.55419,0.04942,10.63013
"06/2014",0.0302,0.0375,0.02332,2.56273,0.04815,10.66282
"07/2014",0.0283,0.0407,NULL,2.58225,0.05470,10.68779
"08/2014",0.0277,0.0415,NULL,2.57080,0.05188,10.72828
"09/2014",0.0283,0.0422,0.02865,2.59771,0.05092,10.71410
"10/2014",0.0290,0.0430,NULL,2.60101,0.04775,10.71503
"11/2014",0.0285,0.0417,NULL,2.63164,0.04527,10.69626
"12/2014",0.0281,0.0408,0.03371,2.69066,0.03757,10.67234
"01/2015",0.0267,0.0307,NULL,2.70728,0.04513,10.62012
"02/2015",0.0281,0.0300,NULL,2.70507,0.04325,10.69626
"03/2015",0.0304,0.0314,0.03391,2.72554,0.03862,10.68567
"04/2015",0.0297,0.0306,NULL,2.73251,0.04313,10.70509
"05/2015",0.0298,0.0288,NULL,2.73317,0.04446,10.70781
"06/2015",0.0296,0.0287,0.03092,2.75273,0.04405,10.71561
"07/2015",0.0299,0.0274,NULL,2.77740,0.04717,10.70891
"08/2015",0.0304,0.0259,NULL,2.82036,0.04680,10.68561
"09/2015",0.0310,0.0252,0.04095,2.82763,0.04497,10.66037
"10/2015",0.0302,0.0248,NULL,2.80484,0.04551,10.70420
"11/2015",0.0302,0.0221,NULL,2.80853,0.03959,10.67864
"12/2015",0.0314,0.0213,0.02629,2.84774,0.03962,10.66843
"01/2016",0.0308,0.0261,NULL,2.90106,0.04255,10.68352
"02/2016",0.0336,0.0287,NULL,2.89602,0.04140,10.68544
"03/2016",0.0380,0.0260,0.02730,2.84706,0.03745,10.73381
"04/2016",0.0374,0.0254,NULL,2.84355,0.03801,10.73171
"05/2016",0.0381,0.0260,NULL,2.91299,0.04013,10.72458
"06/2016",0.0381,0.0254,0.03013,2.91586,0.03917,10.73567
"07/2016",0.0421,0.0265,NULL,2.93299,0.03997,10.75066
"08/2016",0.0424,0.0273,NULL,2.93710,0.03976,10.76935
"09/2016",0.0428,0.0297,0.01696,2.96412,0.04121,10.76312
"10/2016",0.0469,0.0306,NULL,2.93856,0.03666,10.77915
"11/2016",0.0515,0.0331,NULL,3.02118,0.03495,10.72074
"12/2016",0.0561,0.0336,0.03074,3.02623,0.03377,10.72860
"01/2017",0.0583,0.0472,NULL,3.03451,0.03601,10.75793
"02/2017",0.0606,0.0486,NULL,2.99552,0.03343,10.75485
"03/2017",0.0632,0.0535,0.03442,2.93362,0.03192,10.79018
"04/2017",0.0650,0.0582,NULL,2.94230,0.03465,10.80489
"05/2017",0.0656,0.0616,NULL,2.92804,0.03549,10.79525
"06/2017",0.0682,0.0631,0.01706,2.89384,0.03286,10.81692
"07/2017",0.0699,0.0644,NULL,2.88282,0.03417,10.83981
"08/2017",0.0694,0.0666,NULL,2.88001,0.03515,10.84370
"09/2017",0.0699,0.0635,0.01561,2.89917,0.03589,10.82668
"10/2017",0.0703,0.0637,NULL,2.95219,0.03508,10.79190
"11/2017",0.0702,0.0663,NULL,2.92439,0.03405,10.75987
"12/2017",0.0717,0.0677,0.01796,2.97873,0.03147,10.80678
"01/2018",0.0725,0.0555,NULL,2.92353,0.03364,10.82886
"02/2018",0.0740,0.0534,NULL,2.93562,0.03173,10.76718
"03/2018",0.0747,0.0504,0.01478,2.90531,0.02937,10.73911
"04/2018",0.0746,0.0455,NULL,2.93321,0.03386,10.78639
