fecha,tasa_cetes,inflacion,pib,ln_tc,td,ln_ipc,ln_actvindustrial,ln_inpp
oct-18,0.0769,0.049,0.02303,3.01149,0.03265,10.69064,4.66858,4.59249
nov-18,0.0783,0.0472,0.01783,3.01286,0.03248,10.63904,4.63636,4.59948
dic-18,0.0802,0.0483,0.01264,2.97814,0.03358,10.63682,4.58361,4.59547
ene-19,0.0795,0.0437,0.01245,2.94648,0.03563,10.69167,4.64905,4.59055
feb-19,0.0793,0.0394,0.01227,2.95807,0.03293,10.66485,4.61434,4.59329
mar-19,0.0802,0.04,0.01208,2.96413,0.03223,10.67548,4.6452,4.59688
abr-19,0.0778,0.0441,0.00432,2.94496,0.03498,10.70543,4.61294,4.60168
may-19,0.0807,0.0428,-0.00344,2.9777,0.03501,10.6631,4.64245,4.60161
jun-19,0.0825,0.0395,-0.0112,2.95536,0.03565,10.6727,4.63368,4.60415
jul-19,0.0814,0.0378,-0.00807,2.94407,0.03736,10.61798,4.63521,4.60517
ago-19,0.0801,0.0316,-0.00493,2.99921,0.03706,10.66014,4.65679,4.59681
sep-19,0.0772,0.03,-0.0018,2.98237,0.0378,10.66922,4.62131,4.60442
oct-19,0.0766,0.0302,-0.0033,2.95464,0.03691,10.67677,4.63431,4.59945
nov-19,0.0747,0.0297,-0.0048,2.97222,0.03418,10.66476,4.61515,4.60095
dic-19,0.0712,0.0283,-0.0063,2.93727,0.02905,10.68146,4.57234,4.60545
ene-20,0.0712,0.0324,-0.0071,2.9396,0.03779,10.6944,NULL,4.60095
feb-20,0.0696,0.037,-0.0079,2.98447,0.0353,10.62921,4.60607,4.60022
mar-20,0.0681,0.0325,-0.0087,3.15635,0.02908,10.45029,4.60429,4.61956
abr-20,0.0609,0.0215,-0.0678,3.17506,0.04686,10.50425,4.28609,4.634
may-20,0.0547,0.0284,-0.1269,3.09909,0.04192,10.49468,4.28916,4.63188
jun-20,0.0506,0.0333,-0.186,3.13937,0.05492,10.53785,4.46078,4.63063
jul-20,0.0482,0.0362,-0.15203,3.10015,0.0535,10.5192,4.51967,4.64168
ago-20,0.0449,0.0405,-0.11807,3.08594,0.05257,10.51436,4.56241,4.64617
sep-20,0.0438,0.0401,-0.0841,3.09756,0.05128,10.53099,4.56582,4.64175
oct-20,0.042,0.0409,-0.07043,3.05639,0.04708,10.51835,4.59965,4.64248
nov-20,0.0423,0.0333,-0.05677,3.0027,0.04353,10.64015,4.57317,4.63947
dic-20,0.0427,0.0315,-0.0431,2.99116,0.0379,10.69346,4.54878,4.64154
ene-21,0.0422,0.0354,-0.04157,3.00691,0.04702,10.66862,4.57977,4.65253
feb-21,0.0412,0.0376,-0.04003,3.04161,0.04397,10.70533,4.55052,4.66545
mar-21,0.0405,0.0467,-0.0385,3.01749,0.0387,10.76313,4.61788,4.68002
abr-21,0.0407,0.0608,0.04067,3.0048,0.04652,10.77916,4.57999,4.68301
may-21,0.0406,0.0589,0.11983,2.99179,0.03993,10.83734,4.59391,4.69111
jun-21,0.0402,0.0588,0.199,2.99103,0.04023,10.82556,4.58555,4.69925
jul-21,0.0432,0.0581,0.14761,2.98798,0.04382,10.837,4.59398,4.70404
ago-21,0.0446,0.0559,0.09623,2.99875,0.04326,10.88378,4.61427,4.70724
sep-21,0.0455,0.06,0.04484,3.02346,0.04184,10.84711,4.57836,4.71091
oct-21,0.0484,0.0624,0.03363,3.02187,0.03949,10.84564,4.6048,4.72307
nov-21,0.0505,0.0737,0.02243,3.06551,0.03664,10.81373,4.58932,4.73358
dic-21,0.0529,0.0736,0.01122,3.01882,0.03514,10.88317,4.57742,4.73975
