fecha,tasa_cetes,inflacion,pib,ln_tc,td,ln_ipc,ln_actvindustrial,ln_inpp,ahorro,ln_export,ln_import,inversion
nov-09,0.0451,0.0386,-0.0273,2.55844,0.05109,10.34036,4.52446,4.21943,0.2295,10.01521,10.02098,-0.0922
dic-09,0.045,0.0357,-0.016,2.57001,0.04729,10.37725,4.52062,4.2223,0.2315,10.04429,10.05124,-0.052
ene-10,0.0449,0.0446,0.00435,2.5657,0.05761,10.32192,4.5324,4.22899,0.2319,9.86214,9.88502,0.0279
feb-10,0.0449,0.0483,0.0247,2.54764,0.0528,10.362,4.48522,4.23506,0.2323,9.96658,9.94654,0.0204
mar-10,0.0445,0.0497,0.04505,2.51208,0.04743,10.4123,4.57292,4.24121,0.2327,10.16985,10.15467,0.0579
abr-10,0.0444,0.0427,0.05348,2.50655,0.05347,10.39474,4.55153,4.23873,0.2312,10.12039,10.11715,0.0847
may-10,0.0452,0.0392,0.0619,2.55836,0.04995,10.37469,4.55539,4.2412,0.2298,10.11846,10.11148,0.0479
jun-10,0.0459,0.0369,0.07033,2.55288,0.04921,10.34679,4.55496,4.24255,0.2283,10.12665,10.14002,0.0326
jul-10,0.046,0.0364,0.06304,2.5373,0.05585,10.38309,4.55591,4.24816,0.2255,10.05767,10.10088,0.0028
ago-10,0.0452,0.0368,0.05574,2.57776,0.05415,10.36344,4.56107,4.24903,0.2227,10.20052,10.22612,0.041
sep-10,0.0443,0.037,0.04845,2.53368,0.05657,10.41422,4.55411,4.25121,0.2199,10.14008,10.16051,0.0518
oct-10,0.0403,0.0402,0.04611,2.51274,0.05481,10.47921,4.57955,4.2526,0.2236,10.18603,10.21529,0.0561
nov-10,0.0397,0.0432,0.04377,2.52304,0.05172,10.51372,4.55819,4.25669,0.2272,10.246,10.24901,0.086
dic-10,0.043,0.044,0.04143,2.51362,0.04936,10.55973,4.55085,4.26564,0.2309,10.20157,10.20799,0.0565
ene-11,0.0414,0.0378,0.03994,2.49749,0.05337,10.51819,4.54287,4.27167,0.2289,10.11353,10.10774,0.0245
feb-11,0.0404,0.0357,0.03844,2.49372,0.05338,10.51921,4.50746,4.27936,0.227,10.15702,10.14492,0.0421
mar-11,0.0427,0.0304,0.03695,2.47724,0.04641,10.53051,4.58683,4.289,0.225,10.35313,10.30559,0.0231
abr-11,0.0428,0.0336,0.03385,2.44476,0.0513,10.51766,4.54664,4.29485,0.2264,10.23308,10.21101,0.0044
may-11,0.0431,0.0325,0.03075,2.44911,0.0518,10.48662,4.58158,4.29327,0.2277,10.34431,10.32685,0.0821
